Course ID,Course Name,Average Rating,Average Sentiment Score,Average Score,Platform,Institution,Course URL,Number of Ratings,Number of Reviews
961996,Learn Reactivex From Ground Up,4.6,4.036,8.636,Udemy ,Not Available,Not Available,5,5
96238,Progressive Web Apps (PWA) - The Complete Guide,4.285714285714286,3.857142857142857,8.142857142857142,Udemy ,Not Available,Not Available,7,7
962438,The 7 Day Android App Bootcamp - Android Pie and Kotlin,3.625,3.705,7.33,Udemy ,Not Available,Not Available,4,4
962534,Coding Kids: Let's Make Games!,4.916666666666667,3.923333333333333,8.84,Udemy ,Not Available,Not Available,6,6
962556,Learn To Code Trading Card Game Battle System With Unity 3D,4.349206349206349,4.101587301587301,8.450793650793651,Udemy ,Not Available,Not Available,63,63
962856,The Complete iOS App Entrepreneur: Build A Tech Start-Up!,4.125,4.21,8.335,Udemy ,Not Available,Not Available,4,4
963378,JavaScript For Absolute Beginners - Level Two,4.5,3.81,8.309999999999999,Udemy ,Not Available,Not Available,20,20
963412,Advance Jmeter : Performance Testing using Jmeter,4.289473684210527,4.265263157894737,8.554736842105262,Udemy ,Not Available,Not Available,19,19
963416,Model and Texture a Stylized Dungeon for Games,4.75,4.18,8.93,Udemy ,Not Available,Not Available,6,6
963666,Data Structures and Algorithms | Coding Interview Q&A,4.833333333333333,4.173333333333333,9.006666666666666,Udemy ,Not Available,Not Available,3,3
964334,The Python Mega Course: Build 10 Real World Applications,4.75,3.45,8.2,Udemy ,Not Available,Not Available,2,2
964738,Ultimate Web Designer & Developer Course: Build 23 Projects!,5.0,4.65,9.65,Udemy ,Not Available,Not Available,2,2
965162,OOP Object Oriented Programming In PHP 7,4.558139534883721,3.906046511627907,8.464186046511628,Udemy ,Not Available,Not Available,43,43
965528,Web Development Masterclass - Complete Certificate Course,4.625,4.1155,8.7405,Udemy ,Not Available,Not Available,40,40
966236,React Native: Advanced Concepts,5.0,4.48,9.48,Udemy ,Not Available,Not Available,3,3
966692,Learn Responsive Web Development from Scratch,4.230769230769231,3.7484615384615374,7.979230769230769,Udemy ,Not Available,Not Available,26,26
966794,"WordPress Development With NodeJS, Gulp, Composer & More",4.307692307692308,4.109230769230769,8.416923076923077,Udemy ,Not Available,Not Available,13,13
967058,Solidity Ethereum Developer: Build Blockchain DApps in 2019,4.298507462686567,3.969701492537313,8.268208955223882,Udemy ,Not Available,Not Available,134,134
967194,Socket IO Solutions,5.0,4.54,9.54,Udemy ,Not Available,Not Available,1,1
967362,React Native - The Practical Guide,4.0,4.177142857142857,8.177142857142858,Udemy ,Not Available,Not Available,7,7
967410,Intermediate level training in ECMAScript 6 for everyone,3.75,2.68,6.43,Udemy ,Not Available,Not Available,2,2
967424,Github introduction to version control and remote files,3.0,4.84,7.84,Udemy ,Not Available,Not Available,1,1
967674,How To Get A Job In The Video Game Industry,4.5,3.7475,8.247499999999999,Udemy ,Not Available,Not Available,8,8
968292,Learn to Build Mobile Games using Unity3D,3.75,4.4,8.15,Udemy ,Not Available,Not Available,2,2
96866,The Complete Bootstrap Masterclass Course - Build 4 Projects,4.5,4.36,8.86,Udemy ,Not Available,Not Available,1,1
969290,iOS 10 & Swift 3 - Complete Developer Course,4.166666666666667,4.38,8.546666666666667,Udemy ,Not Available,Not Available,3,3
969292,iOS 10 & Objective-C - Complete Developer Course,4.5625,3.9025,8.465,Udemy ,Not Available,Not Available,8,8
970600,REST APIs with Flask and Python,4.424433249370277,3.972896725440806,8.397329974811084,Udemy ,Not Available,Not Available,397,397
970810,Xamarin Forms: Build Native Cross-platform Apps with C#,4.333333333333333,3.88,8.213333333333333,Udemy ,Not Available,Not Available,3,3
